Mon,Tue,Wed,Thu,Fri,Sat,hour_sin,hour_cos,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,sch_hol_period,public_hol_period,year_quarter_Q1,year_quarter_Q2,year_quarter_Q3
0.0,1.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,1,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,2,0.9680771188662043,-0.2506525322587204,259,-0.9679377830240642,-0.25119006388481957,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,2,0.9680771188662043,-0.2506525322587204,260,-0.9721181966290612,-0.23449138957041052,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.25881904510252074,0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890683,0.25881904510252074,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.123233995736766e-17,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.258819045102521,-0.9659258262890682,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,1.2246467991473532e-16,-1.0,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.8369701987210297e-16,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,2,0.9680771188662043,-0.2506525322587204,261,-0.9760105506323682,-0.21772323039653224,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.25881904510252074,0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,0.7071067811865476,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,0.25881904510252074,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.123233995736766e-17,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844387,-0.4999999999999998,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,-0.7071067811865475,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.258819045102521,-0.9659258262890682,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,1.2246467991473532e-16,-1.0,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.2588190451025208,-0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.4999999999999997,-0.8660254037844388,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865471,-0.7071067811865479,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844385,-0.5000000000000004,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.8369701987210297e-16,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890684,0.2588190451025203,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865477,0.7071067811865474,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.5000000000000004,0.8660254037844384,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,2,0.9680771188662043,-0.2506525322587204,262,-0.9796136916454901,-0.20089055513063528,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.25881904510252074,0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.7071067811865476,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,0.25881904510252074,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.258819045102521,-0.9659258262890682,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.2588190451025208,-0.9659258262890683,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890683,-0.25881904510252063,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890684,0.2588190451025203,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865477,0.7071067811865474,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,2,0.9680771188662043,-0.2506525322587204,263,-0.9829265519799822,-0.18399835165767986,False,False,False,False,False
