Mon,Tue,Wed,Thu,Fri,Sat,hour_sin,hour_cos,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,sch_hol_period,public_hol_period,year_quarter_Q1,year_quarter_Q2,year_quarter_Q3,congestion_scale_jb,congestion_scale_wdlands
0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,1,0
0.0,0.0,0.0,1.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,5,1
0.0,0.0,0.0,1.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,5,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,4,5
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,3
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,1
0.0,0.0,0.0,1.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,23,0.38566340624360707,0.9226395488404876,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,2
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,2
0.0,0.0,0.0,0.0,1.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,2
0.0,0.0,0.0,0.0,1.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,2,1
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,4,4
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,1,2
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,0,1
0.0,0.0,0.0,0.0,1.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,2,1
0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,24,0.401487989205973,0.9158642882672872,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,3
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,2,0
0.0,0.0,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,3,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,2,2
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,25,0.4171936026123168,0.9088176373395029,False,False,False,False,False,0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,3
0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,3
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,4
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,1
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,2
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,4
0.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,26,0.4327755925504312,0.901501684131884,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,5
1.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,2,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,2,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,3
1.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,3,5
1.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,5,5
1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,5,2
1.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,3,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,5,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,27,0.4482293417404106,0.893918596519257,False,False,False,False,False,5,0
